Name,BSE Code,NSE Code
20 Microns,533022,20MICRONS
21st Cent. Mgmt.,526921,21STCENMGM
360 ONE,542772,360ONE
3B Blackbio,532067,
3B Films,544412,
3C IT Solutions,544190,
3i Infotech,532628,3IINFOLTD
3M India,523395,3MINDIA
3P Land Hold.,516092,3PLAND
52 Weeks Enter.,531925,
5paisa Capital,540776,5PAISA
63 Moons Tech.,526881,63MOONS
7NR Retail Ltd,540615,
7Seas Enter.,540874,
A and M Jumbo,,AMJUMBO
A B B,500002,ABB
A B Infrabuild,544281,ABINFRA
A B Lifestyle,544403,ABLBL
A B M Internatl.,,ABMINTLLTD
A B Real Estate,500040,ABREL
A F Enterprises,538351,
A G Universal,,AGUL
A-1,542012,
A.K.Capital Serv,530499,
A2Z Infra Engg.,533292,A2ZINFRA
AA Plus Trade,543319,
AAA Technologies,543671,AAATECH
Aadhar Hsg. Fin.,544176,AADHARHFC
Aadi Industries,530027,
Aakaar Medical,,AAKAAR
Aakash Explor.,,AAKASH
Aananda Lakshmi,539096,
Aanchal Ispat,538812,
Aaradhya Dis.,,AARADHYA
Aarey Drugs,524412,AAREYDRUGS
Aarnav Fashions,539562,
Aaron Industries,,AARON
Aartech Solonics,542580,AARTECH
Aarti Drugs,524348,AARTIDRUGS
Aarti Industries,524208,AARTIIND
Aarti Pharma,543748,AARTIPHARM
Aarti Surfactant,543210,AARTISURF
Aarvi Encon,,AARVI
Aashka Hospitals,543346,
AastamangalamFin,511764,
Aatmaj Health,,AATMAJ
AAVAS Financiers,541988,AAVAS
Aayush Art,540718,
Aayush Wellness,539528,
AB Cotspin,544522,ABCOTS
Aban Offshore,523204,ABAN
ABans Enterprise,512165,
Abans Financial,543712,AFSL
Abate As Indust,531658,
Abbott India,500488,ABBOTINDIA
ABC India,520123,
Abha Power,,ABHAPOWER
Abhinav Capital,532057,
Abhinav Leasing,538952,
Abhishek Finle.,538935,
Abhishek Infra.,539544,
Abhishek Integr.,,AILIMITED
Abirami Fin.,511756,
ABM Knowledge,531161,
Abram Food,544422,
Abril Paper,544500,
ABS Marine,,ABSMARINE
ACC,500410,ACC
Accedere,531533,
Accel,517494,
AccelerateBS Ind,543938,
Accelya Solution,532268,ACCELYA
Accent Microcell,,ACCENTMIC
Accord Synergy,,ACCORD
Accretion Pha.,,ACCPL
Accuracy Shippi.,544598,ACCURACY
ACE Alpha Tech,544431,
ACE EduTremd Ltd,530093,
Ace Engitech,530669,
Ace Integrated,,ACEINTEG
Ace Men,539661,
Ace Soft. Exp.,531525,
Achyut Healthcar,543499,
ACI Infocom,517356,
Acknit Indus.,530043,
Acme Resources,539391,
ACME Solar Hold.,544283,ACMESOLAR
Acrow India,513149,
ACS Tech,530745,
Action Const.Eq.,532762,ACE
Active Clothing,541144,
Active Infra.,,ACTIVEINFR
Acutaas Chemical,543349,ACUTAAS
AD Manum Finance,511359,
Adani Energy Sol,539254,ADANIENSOL
Adani Enterp.,512599,ADANIENT
